Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2018-01-10 22:30:00,14473.17,14524.19,14294.25,14524.19,232.02,3337534.06,14384.73
2018-01-10 23:00:00,14525,14590,14400.86,14587.38,237.33,3446380.31,14521.35
2018-01-10 23:30:00,14586.61,14900,14548.96,14890.02,509.31,7510532.38,14746.54
2018-01-11 00:00:00,14899.99,14973.07,14770,14879.48,339.26,5043383.03,14865.94
2018-01-11 00:30:00,14840.98,14884.43,14619.1,14662.61,308.72,4552125.35,14745.19
2018-01-11 01:00:00,14662.61,14730,14562.67,14642,266.48,3903831.65,14649.47
2018-01-11 01:30:00,14642,14661.46,14444.99,14466.66,160.51,2330577.08,14519.79
2018-01-11 02:00:00,14508.25,14576.58,14437.72,14445.77,206,2987144.01,14500.45
2018-01-11 02:30:00,14487.31,14487.31,14166,14248.6,211.76,3032907.22,14322.57
2018-01-11 03:00:00,14248.59,14276.08,13674.36,13790,642.35,8927221.39,13897.69
2018-01-11 03:30:00,13786.1,13917.71,13120,13269.71,1076.37,14509611.04,13480.12
2018-01-11 04:00:00,13269.73,13608.43,12800,13017.13,1241.65,16367673.82,13182.16
2018-01-11 04:30:00,13017.12,13395.76,12871.23,13307.41,857.18,11278334.18,13157.53
2018-01-11 05:00:00,13307.41,13700.2,13211.01,13370.62,540.71,7299869.79,13500.5
2018-01-11 05:30:00,13370.62,13463.04,13070.01,13145,550.91,7304081.68,13258.25
2018-01-11 06:00:00,13154.99,13530,13130.1,13514.64,332.37,4450048.28,13388.86
2018-01-11 06:30:00,13514.64,13564.05,13366.48,13392.49,212.41,2863279.59,13479.77
2018-01-11 07:00:00,13392.49,13650,13196.57,13650,434.67,5832584.21,13418.37
2018-01-11 07:30:00,13650,13699,13495.18,13626.22,333.38,4537704.9,13611.08
2018-01-11 08:00:00,13582.14,13825,13575.94,13729.85,418.86,5751560.23,13731.32
2018-01-11 08:30:00,13728.94,13837.71,13680.1,13807.1,247.04,3409461.63,13801.01
2018-01-11 09:00:00,13745.72,13808.67,13614.42,13707.21,220.78,3024359.46,13698.32
2018-01-11 09:30:00,13707.21,13723.41,13429.25,13554.04,300.05,4062563.1,13539.51
2018-01-11 10:00:00,13589.75,13646.27,13329.06,13421.83,295.41,3971970.73,13445.8
2018-01-11 10:30:00,13411.6,13580,13250,13271.32,431.42,5785521.15,13410.49
2018-01-11 11:00:00,13256.94,13378.88,13196.57,13250,544.62,7225646.66,13267.28
2018-01-11 11:30:00,13250,13462.82,13130.83,13462.81,483.44,6434412.51,13309.54
2018-01-11 12:00:00,13450.01,13800,13430,13648.49,760.03,10389035.25,13669.18
2018-01-11 12:30:00,13648.48,13864.86,13620.74,13812.47,327.35,4501185.95,13750.46
2018-01-11 13:00:00,13818.4,13905,13650,13680,300.77,4147733.28,13790.21
2018-01-11 13:30:00,13680,13730,13597.96,13685,440.25,6016845.65,13667.01
2018-01-11 14:00:00,13685,13786.77,13564.05,13647.26,559.33,7644544.34,13667.27
2018-01-11 14:30:00,13647.26,13905,13580.32,13904.99,484.42,6622614.24,13671.33
2018-01-11 15:00:00,13900,14200,13874.52,14167.09,707.45,9957817.28,14075.62
2018-01-11 15:30:00,14145.99,14175,13872.31,13969,364.11,5092827.27,13986.96
2018-01-11 16:00:00,13969,14097.81,13901.4,14057.01,207.41,2907280.87,14017.29
